Id,Predicted
19307997,545.1656496076179
20176193,158.39836515298813
19485371,61.50412773055708
13079990,79.8358666006983
22339757,57.96238382263016
7717071,119.55444659293994
19416433,161.59263094513895
28602814,204.61573959411717
3167768,257.59915157816295
22026277,265.1276671117104
20982450,107.7729355449465
16271468,71.48361411650798
14445183,108.09579650563371
6040356,121.48697088497005
11484489,204.1802307192983
29541600,167.17343893779662
2793834,162.73035425239456
588677,164.49454312942123
22940375,189.46488844175917
26126728,87.49382745641135
8072662,133.69746171886825
26250574,132.65423657589497
19568889,86.04701929302496
2048796,78.81688531264172
24938213,100.06365178940148
8555036,100.72383883275889
22108302,71.00436242835627
3625656,110.80019131015996
11238715,74.38201405949677
5041360,70.5904269168084
3989564,119.13595591270241
22662308,259.9469369267426
17728208,103.50126338254279
13597896,72.10510144887256
13083638,146.16535849992042
8760775,131.51746739877103
25518930,147.91652411694125
17256297,101.2423323309486
1975069,127.30620630746505
479285,59.194843413858656
22050058,105.48752863158727
21844210,256.7888607381098
25835470,54.377507781190644
27853108,146.92342640008377
9486111,233.8081667035323
23148095,59.923988354059794
26603929,91.83195642761835
6272181,77.4055116138416
22674576,80.0783564673235
20758205,232.39198021589672
22928982,457.67794223600276
28582815,135.1300651501331
13406622,522.4951110130581
24429072,330.2226312488812
4031951,77.37827560519027
25380861,186.48494928211335
18946416,247.64942614855627
9028856,446.25894574651346
29455324,207.58774596621046
23342877,71.39236571631126
28333465,79.091893097063
29335812,96.84539761026952
15621557,59.17200970250082
22240208,341.8337495319565
14851292,157.18666426105662
13649833,66.5419154561918
6843556,338.57517926282827
4881610,98.61533759203968
14125183,56.9125051302957
13374115,82.11034760173318
12495831,149.97395926519786
11963123,151.82880479280536
16024539,132.48073849342018
4351563,128.49293351076116
27141784,163.81255453731174
14684699,185.6594358624593
5031569,108.27381870490196
9046203,125.47068694495658
16238779,240.49770298455738
4629359,230.7277674801795
3811186,91.37317218874038
8703711,94.9977804182932
26814509,382.3527519244679
17556436,82.83669783681475
27368543,203.33055002536196
16456543,57.52669368716315
190542,133.71576668970587
18753645,125.52114866584282
14928996,73.84848666190403
24918804,200.81489544357194
29569480,93.96226884641374
4434797,71.87128937629195
7403108,158.22217882422612
